task,correct,intuitive,number
"How long does it take 7 programmers to write 6 lines of code, if it takes 7 programmers 7 hours to write 7 lines of code?",6 hours,6 hours,18
"How long does it take 8 photographers to take 4 photos, if it takes 8 photographers 8 hours to take 8 photos?",4 hours,4 hours,19
"How long does it take 8 painter to paint 1 painting, if it takes 8 painters 8 hours to paint 8 paintings?",1 hours,1 hours,20
"How long does it take 70 writers to write 50 books, if it takes 70 writers 70 minutes to write 70 books?",50 minutes,50 minutes,21
"How long does it take 8 cooks to cook 2 meals, if it takes 8 cooks 8 minutes to cook 8 meals?",2 minutes,2 minutes,22
"How long does it take 60 doctors to examine 50 patients, if it takes 60 doctors 60 minutes to examine 60 patients?",50 minutes,50 minutes,23
"How long does it take 7 drivers to change 2 tires, if it takes 7 drivers 7 minutes to change 7 tires?",2 minutes,2 minutes,24
"How long does it take 8 farm workers to pick 2 apples, if it takes 8 farm workers 8 seconds to pick 8 apples?",2 seconds,2 seconds,25
"How long does it take 6 freezers to freeze 4 liters of water, if it takes 6 freezers 6 hours to freeze 6 liters of water?",4 hours,4 hours,26
"How long does it take 80 bakers to bake 20 cakes, if it takes 80 bakers 80 hours to bake 80 cakes?",20 hours,20 hours,27
"How long does it take 50 hair stylists to finish 30 hairstyles, if it takes 50 hair stylists 50 minutes to finish 50 hairstyles?",30 minutes,30 minutes,28
"How long does it take 3 mechanics to fix 2 cars, if it takes 3 mechanics 3 hours to fix 3 cars?",2 hours,2 hours,29
"How long does it take 50 tailors to make 20 dresses, if it takes 50 tailors 50 hours to make 50 dresses?",20 hours,20 hours,30
"How long does it take 4 painters to paint 3 rooms, if it takes 4 painters 4 hours to paint 4 rooms?",3 hours,3 hours,31
"How long does it take 60 trees to grow 40 leaves, if it takes 60 trees 60 days to grow 60 leaves?",40 days,40 days,32
"How long does it take 5 runner to clean 1 shoe, if it takes 5 runners 5 minutes to clean 5 shoes?",1 minutes,1 minutes,33
"How long does it take 6 translators to translate 3 pages, if it takes 6 translators 6 hours to translate 6 pages?",3 hours,3 hours,34
"How long does it take 3 machines to make 2 smartphones, if it takes 3 machines 3 hours to make 3 smartphones?",2 hours,2 hours,35
"How long does it take 70 people to smoke 50 cigarettes, if it takes 70 people 70 minutes to smoke 70 cigarettes?",50 minutes,50 minutes,36
"How long does it take 8 opticians to make 7 glasses, if it takes 8 opticians 8 days to make 8 glasses?",7 days,7 days,37
"How long does it take 60 pipes to fill 40 containers, if it takes 60 pipes 60 hours to fill 60 containers?",40 hours,40 hours,38
"How long does it take 80 people to eat 50 pizzas, if it takes 80 people 80 minutes to eat 80 pizzas?",50 minutes,50 minutes,39
"How long does it take 80 kettles to boil 20 liters of water, if it takes 80 kettles 80 hours to boil 80 liters of water?",20 hours,20 hours,40
"How long does it take 80 air conditioners to cool 40 rooms, if it takes 80 air conditioners 80 minutes to cool 80 rooms?",40 minutes,40 minutes,41
"How long does it take 7 students to finish 5 exams, if it takes 7 students 7 minutes to finish 7 exams?",5 minutes,5 minutes,42
"How long does it take 70 men to make 40 pies, if it takes 70 men 70 minutes to make 70 pies?",40 minutes,40 minutes,43
"How long does it take 8 barista to make 1 coffee, if it takes 8 baristas 8 minutes to make 8 coffees?",1 minutes,1 minutes,44
"How long does it take 70 people to cook 10 packs of spaghetti, if it takes 70 people 70 minutes to cook 70 packs of spaghetti?",10 minutes,10 minutes,45
"How long does it take 8 people to renovate 5 bathrooms, if it takes 8 people 8 days to renovate 8 bathrooms?",5 days,5 days,46
"How long does it take 3 fish to eat 1 worm, if it takes 3 fish 3 days to eat 3 worms?",1 days,1 days,47
"How long does it take 3 operator to connect 1 phone call, if it takes 3 operators 3 hours to connect 3 phone calls?",1 hours,1 hours,48
"How long does it take 80 printers to print 20 documents, if it takes 80 printers 80 minutes to print 80 documents?",20 minutes,20 minutes,49
"How long does it take 80 husbands to feed 70 babies, if it takes 80 husbands 80 minutes to feed 80 babies?",70 minutes,70 minutes,50
